epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
108,9177.02,1.66179,0.91484,0.00069,0.76727,0.66317,0.75959,0.46788,1.49174,0.88488,0.00077,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,9262.13,1.66164,0.926,0.00067,0.75336,0.66299,0.76222,0.4707,1.47936,0.88596,0.00077,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,9346.35,1.65375,0.90856,0.00069,0.7446,0.68662,0.76771,0.4738,1.49954,0.88179,0.00078,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,9430.73,1.63101,0.93394,0.00069,0.73158,0.69525,0.76338,0.46547,1.49922,0.89377,0.00078,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,9515.15,1.64339,0.88733,0.00071,0.75019,0.68022,0.76502,0.4705,1.498,0.8921,0.00078,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,9599.4,1.65225,0.91093,0.00068,0.76077,0.68367,0.77,0.47157,1.48266,0.86392,0.00078,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,9683.92,1.62694,0.92376,0.00068,0.74651,0.69423,0.7672,0.46931,1.5021,0.88743,0.00078,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,9768.23,1.65923,0.88427,0.00068,0.72821,0.71513,0.77009,0.47255,1.49144,0.89687,0.00077,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,9852.36,1.62744,0.91735,0.0007,0.72818,0.70023,0.77138,0.47492,1.48639,0.87787,0.00078,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,9936.91,1.64426,0.9267,0.0007,0.7357,0.69203,0.76981,0.47023,1.49219,0.88121,0.00078,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,10021.3,1.62832,0.87114,0.00068,0.76446,0.67924,0.77261,0.47606,1.48683,0.85937,0.00078,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,10105.8,1.63651,0.84767,0.00069,0.76062,0.68209,0.76504,0.47272,1.47793,0.87555,0.00078,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,10189.8,1.65402,0.89443,0.00069,0.75328,0.67592,0.76937,0.47079,1.48199,0.88662,0.00077,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,10274.2,1.61645,0.89844,0.00068,0.75898,0.68743,0.77609,0.47569,1.47526,0.86142,0.00077,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,10358.5,1.6496,0.87531,0.00066,0.74362,0.69528,0.77051,0.48137,1.45911,0.88833,0.00076,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,10442.7,1.59833,0.89143,0.00067,0.74504,0.68367,0.7702,0.47842,1.46365,0.87662,0.00076,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,10526.8,1.59598,0.86055,0.00068,0.75189,0.69326,0.77744,0.4815,1.46997,0.84153,0.00077,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,10611.1,1.61176,0.87708,0.00066,0.75318,0.68,0.76977,0.47618,1.4792,0.89075,0.00077,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,10695.1,1.62255,0.88903,0.00068,0.74816,0.69093,0.77401,0.47552,1.47299,0.9123,0.00077,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,10779.6,1.61823,0.85072,0.00066,0.7744,0.68075,0.77813,0.47797,1.47961,0.88232,0.00077,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,10863.8,1.62372,0.88628,0.00067,0.77155,0.66694,0.77069,0.47713,1.46245,0.89899,0.00076,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,10947.9,1.59288,0.859,0.00066,0.78189,0.6681,0.7776,0.48087,1.46257,0.87283,0.00076,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,11032.2,1.60469,0.84037,0.00068,0.78088,0.67498,0.78094,0.48049,1.47641,0.87575,0.00077,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,11116.3,1.60074,0.84023,0.00067,0.79672,0.66937,0.78112,0.48325,1.46016,0.88416,0.00076,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,11200.8,1.61575,0.83944,0.00068,0.7702,0.68227,0.77995,0.4837,1.45781,0.88099,0.00076,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,11285.3,1.61784,0.8695,0.00067,0.75487,0.69731,0.78733,0.48629,1.46054,0.89269,0.00076,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,11369.7,1.60252,0.8416,0.00067,0.75035,0.68885,0.77734,0.48305,1.45913,0.90277,0.00076,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,11453.9,1.56954,0.83653,0.00067,0.75618,0.6928,0.78252,0.48459,1.46229,0.89596,0.00076,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,11538.2,1.59905,0.84355,0.00066,0.77683,0.68394,0.7826,0.48717,1.45763,0.86693,0.00076,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
